Jogo,Saudades_Dela,Heizmen,Kiro,Natan,Rogerin,,Zaps,Dropo,Zero,Não Jogo,Dava pra joga
7 Days to die,Dava pra joga,Dava pra joga,Dropo,Não jogo,Não jogo,,Saudades_Dela,37,13,19,34
Age of Empires,Zero,Zero,Zero,Zero,Não jogo,,Heizmen,37,17,5,32
Apex Legends,Dava pra joga,Dava pra joga,Dropo,Não jogo,Dava pra joga,,Kiro,41,14,7,29
Arc Raiders (DEMO),Dava pra joga,Dava pra joga,Dava pra joga,Não jogo,Não jogo,,Natan,3,2,71,12
ASKA,Não jogo,Dropo,Dropo,Não jogo,Não jogo,,Rogerin,4,0,77,6
BapBap,Dropo,Dropo,Dropo,Não jogo,Não jogo,,Total,122,46,179,113
Barotrauma,Dava pra joga,Dava pra joga,Dava pra joga,Não jogo,Dava pra joga,,,,,,
Bloons TD 6,Dropo,Dava pra joga,Dava pra joga,Dava pra joga,Não jogo,,,,,,
BomberGrounds: Return,Não jogo,Dropo,Dropo,Não jogo,Não jogo,,,,,,
Bus Simulator,Dava pra joga,Dava pra joga,Dropo,Dava pra joga,Não jogo,,,,,,
Civilization VI,Zero,Zero,Zero,Não jogo,Não jogo,,,,,,
Content Warning,Dropo,Dropo,Não jogo,Não jogo,Não jogo,,,,,,
Corekeeper,Não jogo,Dava pra joga,Dropo,Não jogo,Dava pra joga,,,,,,
Counter-Strike 2,Dava pra joga,Não jogo,Dropo,Não jogo,Não jogo,,,,,,
Cycle frontier Breakthrough,Dava pra joga,Dava pra joga,Dava pra joga,Não jogo,Não jogo,,,,,,
Dark And Darker,Dropo,Dropo,Dropo,Não jogo,Não jogo,,,,,,
Dauntless,Não jogo,Dava pra joga,Dava pra joga,Não jogo,Dava pra joga,,,,,,
Deadlock,Dropo,Dropo,Dropo,Dava pra joga,Dropo,,,,,,
Deep Rock Galactic,Não jogo,Dropo,Dava pra joga,Não jogo,Não jogo,,,,,,
Demonsomnia (DEMO),Zero,Zero,Zero,Não jogo,Não jogo,,,,,,
Don't Starve Together,Dava pra joga,Dava pra joga,Dropo,Dava pra joga,Não jogo,,,,,,
Dota 2,Dava pra joga,Dava pra joga,Dava pra joga,Dropo,Dava pra joga,,,,,,
Dying Light,Não jogo,Dropo,Dropo,Não jogo,Não jogo,,,,,,
Eternal Return,Dava pra joga,Dava pra joga,Dropo,Não jogo,Não jogo,,,,,,
Euro Truck Simulador 2,Dropo,Dava pra joga,Dava pra joga,Não jogo,Não jogo,,,,,,
Fast Food Simulador: Prologue,Zero,Zero,Zero,Zero,Não jogo,,,,,,
Final Fantasy XIV Online,Dava pra joga,Dava pra joga,Não jogo,Não jogo,Não jogo,,,,,,
For The King,Zero,Zero,Zero,Não jogo,Não jogo,,,,,,
Fragpunk,Dava pra joga,Dropo,Não jogo,Não jogo,Não jogo,,,,,,
GateKeeper Infinity,Zero,Zero,Zero,Não jogo,Não jogo,,,,,,
Green Hell,Dava pra joga,Dropo,Dava pra joga,Não jogo,Não jogo,,,,,,
Grim Dawn,Dropo,Dava pra joga,Dava pra joga,Não jogo,Não jogo,,,,,,
Grounded,Dava pra joga,Dava pra joga,Dava pra joga,Não jogo,Não jogo,,,,,,
GTFO,Dava pra joga,Dropo,Dava pra joga,Não jogo,Não jogo,,,,,,
